method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Proposed multimodal mediation,sroie_test_0047,test,1,26,0,26,1,100.0,0.444,45,1339.3
Raw OCR text prompt,sroie_test_0048,test,0,0,0,0,0,0.0,1.000,61,712.0
OCR + regex masking,sroie_test_0048,test,0,18,0,18,0,0.0,0.852,61,712.0
OCR + generic de-identification,sroie_test_0048,test,0,39,0,39,0,0.0,0.387,61,712.0
OCR + Presidio receipt de-identification,sroie_test_0048,test,0,42,0,42,0,0.0,0.336,61,712.0
OCR + spaCy receipt de-identification,sroie_test_0048,test,0,50,0,50,0,0.0,0.244,61,712.0
Proposed multimodal mediation,sroie_test_0048,test,0,39,0,39,0,0.0,0.387,61,712.0
Raw OCR text prompt,sroie_test_0049,test,0,0,0,0,0,0.0,1.000,45,1089.7
OCR + regex masking,sroie_test_0049,test,0,17,0,17,0,0.0,0.814,45,1089.7
OCR + generic de-identification,sroie_test_0049,test,0,25,0,25,0,0.0,0.556,45,1089.7
OCR + Presidio receipt de-identification,sroie_test_0049,test,0,27,0,27,0,0.0,0.515,45,1089.7
OCR + spaCy receipt de-identification,sroie_test_0049,test,0,29,0,29,0,0.0,0.420,45,1089.7
Proposed multimodal mediation,sroie_test_0049,test,0,25,0,25,0,0.0,0.556,45,1089.7
Raw OCR text prompt,sroie_test_0050,test,0,0,0,0,0,0.0,1.000,36,1308.2
OCR + regex masking,sroie_test_0050,test,0,2,0,2,0,0.0,0.974,36,1308.2
OCR + generic de-identification,sroie_test_0050,test,0,12,0,12,0,0.0,0.585,36,1308.2
OCR + Presidio receipt de-identification,sroie_test_0050,test,0,13,0,13,0,0.0,0.567,36,1308.2
OCR + spaCy receipt de-identification,sroie_test_0050,test,0,17,0,17,0,0.0,0.462,36,1308.2
Proposed multimodal mediation,sroie_test_0050,test,0,12,0,12,0,0.0,0.585,36,1308.2
Raw OCR text prompt,sroie_test_0051,test,0,0,0,0,0,0.0,1.000,65,1244.2
OCR + regex masking,sroie_test_0051,test,0,17,0,17,0,0.0,0.860,65,1244.2
OCR + generic de-identification,sroie_test_0051,test,0,37,0,37,0,0.0,0.479,65,1244.2
OCR + Presidio receipt de-identification,sroie_test_0051,test,0,48,0,48,0,0.0,0.291,65,1244.2
OCR + spaCy receipt de-identification,sroie_test_0051,test,0,50,0,50,0,0.0,0.297,65,1244.2
Proposed multimodal mediation,sroie_test_0051,test,0,37,0,37,0,0.0,0.479,65,1244.2
Raw OCR text prompt,sroie_test_0052,test,0,0,0,0,0,0.0,1.000,26,565.3
OCR + regex masking,sroie_test_0052,test,0,7,0,7,0,0.0,0.916,26,565.3
OCR + generic de-identification,sroie_test_0052,test,0,16,0,16,0,0.0,0.468,26,565.3
OCR + Presidio receipt de-identification,sroie_test_0052,test,0,18,0,18,0,0.0,0.354,26,565.3
OCR + spaCy receipt de-identification,sroie_test_0052,test,0,18,0,18,0,0.0,0.347,26,565.3
Proposed multimodal mediation,sroie_test_0052,test,0,16,0,16,0,0.0,0.468,26,565.3
Raw OCR text prompt,sroie_test_0053,test,0,0,0,0,0,0.0,1.000,57,1131.2
OCR + regex masking,sroie_test_0053,test,0,21,0,21,0,0.0,0.803,57,1131.2
OCR + generic de-identification,sroie_test_0053,test,0,31,0,31,0,0.0,0.558,57,1131.2
OCR + Presidio receipt de-identification,sroie_test_0053,test,0,36,0,36,0,0.0,0.453,57,1131.2
OCR + spaCy receipt de-identification,sroie_test_0053,test,0,37,0,37,0,0.0,0.405,57,1131.2
Proposed multimodal mediation,sroie_test_0053,test,0,31,0,31,0,0.0,0.558,57,1131.2
Raw OCR text prompt,sroie_test_0054,test,0,0,0,0,0,0.0,1.000,49,1478.6
OCR + regex masking,sroie_test_0054,test,0,6,0,6,0,0.0,0.950,49,1478.6
OCR + generic de-identification,sroie_test_0054,test,0,24,0,24,0,0.0,0.520,49,1478.6
OCR + Presidio receipt de-identification,sroie_test_0054,test,0,29,0,29,0,0.0,0.403,49,1478.6
OCR + spaCy receipt de-identification,sroie_test_0054,test,0,31,0,31,0,0.0,0.389,49,1478.6
Proposed multimodal mediation,sroie_test_0054,test,0,24,0,24,0,0.0,0.520,49,1478.6
Raw OCR text prompt,sroie_test_0055,test,0,0,0,0,0,0.0,1.000,32,532.6
OCR + regex masking,sroie_test_0055,test,0,2,0,2,0,0.0,0.984,32,532.6
OCR + generic de-identification,sroie_test_0055,test,0,21,0,21,0,0.0,0.315,32,532.6
OCR + Presidio receipt de-identification,sroie_test_0055,test,0,23,0,23,0,0.0,0.209,32,532.6
OCR + spaCy receipt de-identification,sroie_test_0055,test,0,27,0,27,0,0.0,0.168,32,532.6
Proposed multimodal mediation,sroie_test_0055,test,0,21,0,21,0,0.0,0.315,32,532.6
Raw OCR text prompt,sroie_test_0056,test,0,0,0,0,0,0.0,1.000,61,1850.6
OCR + regex masking,sroie_test_0056,test,0,20,0,20,0,0.0,0.906,61,1850.6
OCR + generic de-identification,sroie_test_0056,test,0,35,0,35,0,0.0,0.457,61,1850.6
OCR + Presidio receipt de-identification,sroie_test_0056,test,0,38,0,38,0,0.0,0.405,61,1850.6
OCR + spaCy receipt de-identification,sroie_test_0056,test,0,48,0,48,0,0.0,0.255,61,1850.6
Proposed multimodal mediation,sroie_test_0056,test,0,35,0,35,0,0.0,0.457,61,1850.6
Raw OCR text prompt,sroie_test_0057,test,1,0,0,0,1,100.0,1.000,30,540.2
OCR + regex masking,sroie_test_0057,test,1,0,0,0,1,100.0,1.000,30,540.2
OCR + generic de-identification,sroie_test_0057,test,1,9,0,9,1,100.0,0.612,30,540.2
OCR + Presidio receipt de-identification,sroie_test_0057,test,1,11,0,11,1,100.0,0.517,30,540.2
OCR + spaCy receipt de-identification,sroie_test_0057,test,1,14,0,14,1,100.0,0.411,30,540.2
Proposed multimodal mediation,sroie_test_0057,test,1,9,0,9,1,100.0,0.612,30,540.2
Raw OCR text prompt,sroie_test_0058,test,0,0,0,0,0,0.0,1.000,52,1594.5
OCR + regex masking,sroie_test_0058,test,0,9,0,9,0,0.0,0.906,52,1594.5
OCR + generic de-identification,sroie_test_0058,test,0,32,0,32,0,0.0,0.382,52,1594.5
OCR + Presidio receipt de-identification,sroie_test_0058,test,0,38,0,38,0,0.0,0.285,52,1594.5
OCR + spaCy receipt de-identification,sroie_test_0058,test,0,40,0,40,0,0.0,0.273,52,1594.5
Proposed multimodal mediation,sroie_test_0058,test,0,32,0,32,0,0.0,0.382,52,1594.5
Raw OCR text prompt,sroie_test_0059,test,0,0,0,0,0,0.0,1.000,47,1160.2
OCR + regex masking,sroie_test_0059,test,0,11,0,11,0,0.0,0.922,47,1160.2
OCR + generic de-identification,sroie_test_0059,test,0,31,0,31,0,0.0,0.392,47,1160.2
OCR + Presidio receipt de-identification,sroie_test_0059,test,0,35,0,35,0,0.0,0.310,47,1160.2
OCR + spaCy receipt de-identification,sroie_test_0059,test,0,38,0,38,0,0.0,0.220,47,1160.2
Proposed multimodal mediation,sroie_test_0059,test,0,31,0,31,0,0.0,0.392,47,1160.2
Raw OCR text prompt,sroie_test_0060,test,0,0,0,0,0,0.0,1.000,65,1134.1
OCR + regex masking,sroie_test_0060,test,0,18,0,18,0,0.0,0.853,65,1134.1
OCR + generic de-identification,sroie_test_0060,test,0,47,0,47,0,0.0,0.363,65,1134.1
OCR + Presidio receipt de-identification,sroie_test_0060,test,0,49,0,49,0,0.0,0.345,65,1134.1
OCR + spaCy receipt de-identification,sroie_test_0060,test,0,52,0,52,0,0.0,0.281,65,1134.1
Proposed multimodal mediation,sroie_test_0060,test,0,47,0,47,0,0.0,0.363,65,1134.1
Raw OCR text prompt,sroie_test_0061,test,0,0,0,0,0,0.0,1.000,77,1407.8
OCR + regex masking,sroie_test_0061,test,0,31,0,31,0,0.0,0.744,77,1407.8
OCR + generic de-identification,sroie_test_0061,test,0,53,0,53,0,0.0,0.365,77,1407.8
OCR + Presidio receipt de-identification,sroie_test_0061,test,0,64,0,64,0,0.0,0.221,77,1407.8
OCR + spaCy receipt de-identification,sroie_test_0061,test,0,59,0,59,0,0.0,0.273,77,1407.8
Proposed multimodal mediation,sroie_test_0061,test,0,53,0,53,0,0.0,0.365,77,1407.8
Raw OCR text prompt,sroie_test_0062,test,0,0,0,0,0,0.0,1.000,45,991.2
OCR + regex masking,sroie_test_0062,test,0,10,0,10,0,0.0,0.904,45,991.2
OCR + generic de-identification,sroie_test_0062,test,0,25,0,25,0,0.0,0.491,45,991.2
OCR + Presidio receipt de-identification,sroie_test_0062,test,0,31,0,31,0,0.0,0.369,45,991.2
OCR + spaCy receipt de-identification,sroie_test_0062,test,0,31,0,31,0,0.0,0.367,45,991.2
Proposed multimodal mediation,sroie_test_0062,test,0,25,0,25,0,0.0,0.491,45,991.2
