split,template_id,prompt_id,variant_id,prompt_family,prompt_source,downstream_task_type,primary_privacy_category,subset,modality,split_rule
test,T25,T25-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Essential-privacy,Text-only,template_stratified_family_category_rotation
test,T25,T25-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
test,T25,T25-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T25,T25-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T25,T25-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T25,T25-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Person names,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T26,T26-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T26,T26-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T26,T26-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Contact details,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T27,T27-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T27,T27-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T27,T27-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Postal addresses,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T28,T28-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T28,T28-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T28,T28-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,National/account identifiers,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
test,T29,T29-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Essential-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Essential-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Essential-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
test,T29,T29-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Incidental-privacy,Text-only,template_stratified_family_category_rotation
test,T29,T29-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Financial references,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T30,T30-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T30,T30-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T30,T30-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Medical content,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T31,T31-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Essential-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
train,T31,T31-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Incidental-privacy,Text-only,template_stratified_family_category_rotation
train,T31,T31-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Organization/project terms,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T32,T32-V1,V1,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V2,V2,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V3,V3,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Essential-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V4,V4,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Essential-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
dev,T32,T32-V5,V5,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V6,V6,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V7,V7,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Incidental-privacy,Text-only,template_stratified_family_category_rotation
dev,T32,T32-V8,V8,Tool-oriented agent,Agent workflow traces,Agent execution,Context-dependent confidential spans,Incidental-privacy,OCR-mediated text-plus-image,template_stratified_family_category_rotation
